# Matter power spectrum P(k) at redshift z=2.34
# for k=1.04504e-05 to 1.08139 h/Mpc,
# number of wavenumbers equal to 602
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045043559883e-05       6.857452581226e+00 
       2.334705899288e-05       1.489373053383e+01 
       3.628911338665e-05       2.279385501081e+01 
       4.931150537286e-05       3.064119532005e+01 
       6.244972000578e-05       3.848350237943e+01 
       7.574013797889e-05       4.635676054565e+01 
       8.922036296428e-05       5.429187047885e+01 
       1.029295634772e-04       6.231739806710e+01 
       1.169088336628e-04       7.046098145311e+01 
       1.312015774358e-04       7.875018811423e+01 
       1.458539204086e-04       8.721311367064e+01 
       1.609151539846e-04       9.587885067453e+01 
       1.764382158079e-04       1.047778894332e+02 
       1.924802103879e-04       1.139424883234e+02 
       2.091029730455e-04       1.234070280510e+02 
       2.263736792325e-04       1.332083644087e+02 
       2.443654995837e-04       1.433861820125e+02 
       2.631582985472e-04       1.539833528956e+02 
       2.828393708261e-04       1.650462951677e+02 
       3.035042048254e-04       1.766253273916e+02 
       3.252572554372e-04       1.887750064221e+02 
       3.482126994127e-04       2.015544325077e+02 
       3.724951348840e-04       2.150274965899e+02 
       3.982401720480e-04       2.292630409288e+02 
       4.255948446511e-04       2.443348884277e+02 
       4.547177522709e-04       2.603216915106e+02 
       4.857788228704e-04       2.773065374344e+02 
       5.189585663350e-04       2.953762434718e+02 
       5.544466768968e-04       3.146202668960e+02 
       5.924398414943e-04       3.351291634379e+02 
       6.331386297303e-04       3.569925430060e+02 
       6.767433871943e-04       3.802965057014e+02 
       7.234491339261e-04       4.051205916972e+02 
       7.734395852606e-04       4.315343511614e+02 
       8.268805560679e-04       4.595937173980e+02 
       8.839131626227e-04       4.893374603742e+02 
       9.446473683976e-04       5.207840337222e+02 
       1.009156493605e-03       5.539291820072e+02 
       1.077473289742e-03       5.887446001827e+02 
       1.149588053315e-03       6.251778667815e+02 
       1.225449028764e-03       6.631537055121e+02 
       1.304965070185e-03       7.025764555176e+02 
       1.388010254421e-03       7.433301916099e+02 
       1.474429923914e-03       7.852899747989e+02 
       1.564047526118e-03       8.283238509595e+02 
       1.656671616674e-03       8.722930915251e+02 
       1.752102486441e-03       9.170582248384e+02 
       1.850138021057e-03       9.624822429870e+02 
       1.950578566090e-03       1.008433135030e+03 
       2.053230719410e-03       1.054785896600e+03 
       2.157910086799e-03       1.101423768600e+03 
       2.264443111530e-03       1.148239129592e+03 
       2.372668127144e-03       1.195133799098e+03 
       2.482435793201e-03       1.242019032722e+03 
       2.593609065572e-03       1.288815227088e+03 
       2.706062834189e-03       1.335451404513e+03 
       2.819683338134e-03       1.381864677211e+03 
       2.934367444724e-03       1.427999397308e+03 
       3.050021858134e-03       1.473806694011e+03 
       3.166562305179e-03       1.519243611748e+03 
       3.283912731392e-03       1.564272716966e+03 
       3.402004529313e-03       1.608861651548e+03 
       3.520775812448e-03       1.652981828446e+03 
       3.640170742224e-03       1.696609244862e+03 
       3.760138910953e-03       1.739723198283e+03 
       3.880634780814e-03       1.782305848192e+03 
       4.001617177022e-03       1.824342581194e+03 
       4.123048832089e-03       1.865820616772e+03 
       4.244895977513e-03       1.906730026151e+03 
       4.367127978895e-03       1.947062111283e+03 
       4.489717010466e-03       1.986810033411e+03 
       4.612637765135e-03       2.025969595096e+03 
       4.735867196368e-03       2.064535526082e+03 
       4.859384288488e-03       2.102506453178e+03 
       4.983169852262e-03       2.139879828452e+03 
       5.107206342960e-03       2.176654503841e+03 
       5.231477698332e-03       2.212832479380e+03 
       5.355969194236e-03       2.248412408610e+03 
       5.480667315891e-03       2.283396142024e+03 
       5.605559642967e-03       2.317785641171e+03 
       5.730634746920e-03       2.351583595093e+03 
       5.855882099172e-03       2.384792301644e+03 
       5.981291988902e-03       2.417415155355e+03 
       6.106855449352e-03       2.449456021058e+03 
       6.232564191688e-03       2.480918461889e+03 
       6.358410545578e-03       2.511805554738e+03 
       6.484387405728e-03       2.542123038241e+03 
       6.610488183727e-03       2.571874614947e+03 
       6.736706764615e-03       2.601064778918e+03 
       6.863037467669e-03       2.629698894138e+03 
       6.989475010946e-03       2.657781698239e+03 
       7.116014479189e-03       2.685317316727e+03 
       7.242651294739e-03       2.712311047051e+03 
       7.369381191145e-03       2.738768667795e+03 
       7.496200189184e-03       2.764693851653e+03 
       7.623104575058e-03       2.790094567670e+03 
       7.750090880534e-03       2.814970979529e+03 
       7.877155864848e-03       2.839343570270e+03 
       8.004296498182e-03       2.863240752089e+03 
       8.131509946580e-03       2.886623581659e+03 
       8.258793558143e-03       2.909455201150e+03 
       8.386144850396e-03       2.931796127212e+03 
       8.513561498714e-03       2.953649050478e+03 
       8.641041325700e-03       2.975021525853e+03 
       8.768582291434e-03       2.995917247860e+03 
       8.896182484511e-03       3.016338145683e+03 
       9.023840113803e-03       3.036289987958e+03 
       9.151553500863e-03       3.055778276008e+03 
       9.279321072939e-03       3.074808635290e+03 
       9.407141356522e-03       3.093384846275e+03 
       9.535012971395e-03       3.111511017022e+03 
       9.662934625138e-03       3.129194650913e+03 
       9.790905108043e-03       3.146444003974e+03 
       9.918923288422e-03       3.163257862627e+03 
       1.004698810825e-02       3.179640686538e+03 
       1.017509857914e-02       3.195600482496e+03 
       1.030325377861e-02       3.211134366444e+03 
       1.043145284664e-02       3.226269610907e+03 
       1.055969498240e-02       3.240986750615e+03 
       1.068797944137e-02       3.255299449617e+03 
       1.081630553247e-02       3.269212305789e+03 
       1.094467261556e-02       3.282726565968e+03 
       1.107308009902e-02       3.295851676884e+03 
       1.120152743754e-02       3.308589574108e+03 
       1.133001413005e-02       3.320945806992e+03 
       1.145853971781e-02       3.332923751266e+03 
       1.158710378262e-02       3.344525057720e+03 
       1.171570594514e-02       3.355760112589e+03 
       1.184434586337e-02       3.366632527185e+03 
       1.197302323122e-02       3.377140475164e+03 
       1.210173777714e-02       3.387293376348e+03 
       1.223048926291e-02       3.397091937078e+03 
       1.235927748246e-02       3.406544941846e+03 
       1.248810226081e-02       3.415657451905e+03 
       1.261696345308e-02       3.424420416728e+03 
       1.274586094355e-02       3.432852305225e+03 
       1.287479464481e-02       3.440954832983e+03 
       1.300376449696e-02       3.448726542874e+03 
       1.313277046690e-02       3.456174932884e+03 
       1.326181254760e-02       3.463306664169e+03 
       1.339089075752e-02       3.470119001686e+03 
       1.352000514002e-02       3.476619966738e+03 
       1.364915576281e-02       3.482811998935e+03 
       1.377834271748e-02       3.488700904251e+03 
       1.390756611905e-02       3.494286380344e+03 
       1.403682610559e-02       3.499573947872e+03 
       1.416612283780e-02       3.504569365459e+03 
       1.429545649872e-02       3.509274739517e+03 
       1.442482729342e-02       3.513693476845e+03 
       1.455423544873e-02       3.517827640587e+03 
       1.468368121300e-02       3.521687005991e+03 
       1.481316485591e-02       3.525267625526e+03 
       1.494268666828e-02       3.528575715626e+03 
       1.507224696193e-02       3.531614452756e+03 
       1.520184606953e-02       3.534387104267e+03 
       1.533148434454e-02       3.536900447494e+03 
       1.546116216110e-02       3.539154315361e+03 
       1.559087991400e-02       3.541155777140e+03 
       1.572063801862e-02       3.542902686409e+03 
       1.585043691097e-02       3.544402442331e+03 
       1.598027704764e-02       3.545654338482e+03 
       1.611015890590e-02       3.546665318756e+03 
       1.624008298370e-02       3.547441317366e+03 
       1.637004979976e-02       3.547978417465e+03 
       1.650005989367e-02       3.548282741118e+03 
       1.663011382600e-02       3.548357084978e+03 
       1.676021217840e-02       3.548203178305e+03 
       1.689035555378e-02       3.547837833302e+03 
       1.702054457645e-02       3.547244495976e+03 
       1.715077989232e-02       3.546438101623e+03 
       1.728106216910e-02       3.545412047190e+03 
       1.741139209646e-02       3.544177236115e+03 
       1.754177038635e-02       3.542737405000e+03 
       1.767219777319e-02       3.541093193921e+03 
       1.780267501413e-02       3.539246817689e+03 
       1.793320288938e-02       3.537201174788e+03 
       1.806378220246e-02       3.534959475071e+03 
       1.819441378054e-02       3.532522768001e+03 
       1.832509847477e-02       3.529899001125e+03 
       1.845583716061e-02       3.527085649886e+03 
       1.858663073823e-02       3.524091607902e+03 
       1.871748013287e-02       3.520912694689e+03 
       1.884838629522e-02       3.517555824749e+03 
       1.897935020188e-02       3.514013962614e+03 
       1.911037285577e-02       3.510312113011e+03 
       1.924145528657e-02       3.506438891977e+03 
       1.937259855121e-02       3.502391273722e+03 
       1.950380373436e-02       3.498180691012e+03 
       1.963507194890e-02       3.493812443909e+03 
       1.976640433650e-02       3.489276383445e+03 
       1.989780206810e-02       3.484586699143e+03 
       2.002926634454e-02       3.479747168600e+03 
       2.016079839707e-02       3.474748957487e+03 
       2.029239948802e-02       3.469601262356e+03 
       2.042407091138e-02       3.464306771166e+03 
       2.055581399345e-02       3.458869949480e+03 
       2.068763009351e-02       3.453285966690e+03 
       2.081952060452e-02       3.447570751787e+03 
       2.095148695381e-02       3.441715397191e+03 
       2.108353060382e-02       3.435723862329e+03 
       2.121565305285e-02       3.429599585095e+03 
       2.134785583585e-02       3.423340907230e+03 
       2.148014052522e-02       3.416967396238e+03 
       2.161250873164e-02       3.410455874571e+03 
       2.174496210493e-02       3.403829604287e+03 
       2.187750233493e-02       3.397077441872e+03 
       2.201013115241e-02       3.390211598648e+03 
       2.214285033001e-02       3.383228726028e+03 
       2.227566168323e-02       3.376131540966e+03 
       2.240856707139e-02       3.368924420573e+03 
       2.254156839870e-02       3.361604690861e+03 
       2.267466761529e-02       3.354178769331e+03 
       2.280786671835e-02       3.346651517111e+03 
       2.294116775320e-02       3.339019113926e+03 
       2.307457281452e-02       3.331286440210e+03 
       2.320808404750e-02       3.323454783338e+03 
       2.334170364913e-02       3.315530299659e+03 
       2.347543386942e-02       3.307503405284e+03 
       2.360927701278e-02       3.299385530941e+03 
       2.374323543936e-02       3.291181093580e+03 
       2.387731156642e-02       3.282876154813e+03 
       2.401150786985e-02       3.274506513025e+03 
       2.414582688559e-02       3.266040935647e+03 
       2.428027121125e-02       3.257495158077e+03 
       2.441484350763e-02       3.248874365066e+03 
       2.454954650042e-02       3.240142105203e+03 
       2.468438298188e-02       3.231380382745e+03 
       2.481935581259e-02       3.222525677398e+03 
       2.495446792328e-02       3.213597794669e+03 
       2.508972231667e-02       3.204567932520e+03 
       2.522512206943e-02       3.195510299444e+03 
       2.536067033418e-02       3.186361468695e+03 
       2.549637034153e-02       3.177181070462e+03 
       2.563222540224e-02       3.167869094419e+03 
       2.576823890939e-02       3.158541704415e+03 
       2.590441434073e-02       3.149153298979e+03 
       2.604075526096e-02       3.139696817841e+03 
       2.617726532421e-02       3.130194270732e+03 
       2.631394827657e-02       3.120670049107e+03 
       2.645080795869e-02       3.111015684446e+03 
       2.658784830849e-02       3.101364516273e+03 
       2.672507336393e-02       3.091641049468e+03 
       2.686248726597e-02       3.081883350361e+03 
